
TreeSize Professional Report, 7/29/15  8:32 AM
  S:\Service\Radio Programs\   (\\REG1TRIFP01.tridon.local\Shared$\Service\Radio Programs\) (XML of 7/28/15)
 (XML of 7/28/15)Drive: S:\      Size: 1.4 TB      Used: 989.4 GB      Free: 444.1 GB         4096 Bytes per Cluster (NTFS)

Full Path      ,Size           ,Allocated      ,Files          ,Folders        ,% of Parent    ,Last Change    ,Last Access    ,Owner          
"S:\Service\Radio Programs\01 TEMP\Adam\",3.7 MB,3.7 MB,13 ,1 ,0.0 %,5/27/14,9/02/14,"Administrators"
"S:\Service\Radio Programs\01 TEMP\01 Steave\",2.4 MB,2.4 MB,5 ,0 ,0.0 %,6/19/12,11/25/14,"Administrators"
"S:\Service\Radio Programs\01 TEMP\LOCKERBIE\",90.0 KB,96.0 KB,6 ,0 ,0.0 %,10/22/10,7/15/14,"Administrators"
"S:\Service\Radio Programs\01 TEMP\02 BANTREL\",88.1 KB,92.0 KB,1 ,0 ,0.0 %,6/15/12,3/30/13,"Administrators"
"S:\Service\Radio Programs\01 TEMP\EMMA\",74.9 KB,92.0 KB,7 ,0 ,0.0 %,11/30/11,7/15/14,"Administrators"
"S:\Service\Radio Programs\01 TEMP\KMC\",72.0 KB,72.0 KB,1 ,0 ,0.0 %,1/06/11,10/25/12,"Administrators"
"S:\Service\Radio Programs\01 TEMP\Pipelines canada original\",58.0 KB,64.0 KB,4 ,0 ,0.0 %,2/09/12,10/25/12,"Administrators"
"S:\Service\Radio Programs\01 TEMP\CHRIS\",31.3 KB,40.0 KB,4 ,1 ,0.0 %,6/12/12,8/26/14,"Administrators"
"S:\Service\Radio Programs\01 TEMP\SUNCOR SERIAL NUMBERS\",22.4 KB,28.0 KB,2 ,0 ,0.0 %,8/31/12,7/15/14,"Administrators"
"S:\Service\Radio Programs\01 TEMP\SHALE INDUSTRIAL RENTALS\",9.4 KB,12.0 KB,2 ,0 ,0.0 %,1/12/11,5/15/14,"Administrators"
"S:\Service\Radio Programs\01 TEMP\Shawn\",4.6 KB,8.0 KB,2 ,0 ,0.0 %,1/21/10,10/25/12,"Administrators"
"S:\Service\Radio Programs\01 TEMP\01 SUNCOR\",0 Bytes,0 Bytes,0 ,0 ,0.0 %,12/14/14,12/30/14,"Administrators"
"S:\Service\Radio Programs\Conoco Phillips Canada - 360020\",1.3 GB,1.3 GB,219 ,45 ,5.0 %,7/14/15,7/15/15,"Administrators"
"S:\Service\Radio Programs\Suncor Energy - Con Plus Mine Sys - 320020\",950.0 MB,950.1 MB,65 ,16 ,3.6 %,6/24/15,6/24/15,"Administrators"
"S:\Service\Radio Programs\TRIDON\",342.5 MB,342.6 MB,64 ,13 ,1.3 %,5/12/15,5/13/15,"Administrators"
"S:\Service\Radio Programs\Bouchier Management - 104720\",333.1 MB,334.2 MB,473 ,125 ,1.3 %,12/14/14,12/31/14,"Administrators"
"S:\Service\Radio Programs\LEDCOR SITE SERVICES - 198646\",310.9 MB,311.1 MB,74 ,9 ,1.2 %,7/07/15,7/20/15,"Administrators"
"S:\Service\Radio Programs\Meg Energy Corp - 126440\",287.7 MB,288.0 MB,185 ,6 ,1.1 %,8/08/13,10/21/14,"Administrators"
"S:\Service\Radio Programs\Suncor Energy - 320030\",215.9 MB,216.3 MB,260 ,46 ,0.8 %,3/16/15,3/16/15,"Administrators"
"S:\Service\Radio Programs\PTI Group Inc. - 132050\",68.7 MB,68.8 MB,74 ,7 ,0.3 %,7/24/14,9/18/14,"Administrators"
"S:\Service\Radio Programs\TOTAL Energy  DEER Creek\",63.4 MB,63.5 MB,52 ,4 ,0.2 %,5/09/14,7/15/14,"Administrators"
"S:\Service\Radio Programs\CNRL Horizon - 330010\",50.5 MB,51.0 MB,225 ,41 ,0.2 %,7/23/15,7/23/15,"Administrators"
"S:\Service\Radio Programs\Canadian Natural Resources Ltd-330010\",36.3 MB,36.5 MB,93 ,10 ,0.1 %,12/14/14,12/30/14,"Administrators"
"S:\Service\Radio Programs\Stony Valley Contracting - 137690\",35.8 MB,36.2 MB,221 ,18 ,0.1 %,7/28/15,7/28/15,"Administrators"
"S:\Service\Radio Programs\KMC Mining-121650\",26.7 MB,26.8 MB,64 ,8 ,0.1 %,7/22/15,7/22/15,"Administrators"
"S:\Service\Radio Programs\Winifred Lake BDA 2010\",24.3 MB,24.4 MB,16 ,1 ,0.1 %,6/16/10,7/15/14,"Administrators"
"S:\Service\Radio Programs\R.M. WOOD BUFFALO\",23.6 MB,23.6 MB,32 ,9 ,0.1 %,2/24/15,3/12/15,"Administrators"
"S:\Service\Radio Programs\Leo Roberts-122290\",19.9 MB,20.0 MB,31 ,3 ,0.1 %,5/09/14,7/15/14,"Administrators"
"S:\Service\Radio Programs\United Class Cab-140430\",16.7 MB,16.8 MB,21 ,5 ,0.1 %,12/14/14,12/31/14,"Administrators"
"S:\Service\Radio Programs\DOS Files\",14.9 MB,16.1 MB,440 ,51 ,0.1 %,12/14/14,12/31/14,"Administrators"
"S:\Service\Radio Programs\TJ's Oilfeild - 139360\",11.2 MB,11.2 MB,4 ,0 ,0.0 %,2/24/15,2/24/15,"Administrators"
"S:\Service\Radio Programs\Fire Department Municipality of Wood Buffalo\",9.8 MB,10.2 MB,190 ,22 ,0.0 %,4/21/15,4/21/15,"Administrators"
"S:\Service\Radio Programs\North American Construction - 128590\",8.5 MB,8.6 MB,62 ,8 ,0.0 %,12/14/14,12/30/14,"Administrators"
"S:\Service\Radio Programs\2 Satellite Dish Commissioning\",5.6 MB,5.6 MB,20 ,0 ,0.0 %,3/20/06,7/15/14,"Administrators"
"S:\Service\Radio Programs\Petrowest Construction-197318\",4.2 MB,4.2 MB,15 ,0 ,0.0 %,7/30/14,8/22/14,"Administrators"
"S:\Service\Radio Programs\Parkland Pipeline Contractors-188724\",3.8 MB,3.8 MB,16 ,3 ,0.0 %,3/18/15,3/18/15,"Administrators"
"S:\Service\Radio Programs\Nor. AB Forestry\",3.8 MB,3.8 MB,1 ,0 ,0.0 %,12/15/08,3/30/13,"Administrators"
"S:\Service\Radio Programs\Diversified - 110980\",2.8 MB,2.9 MB,44 ,0 ,0.0 %,11/24/14,11/24/14,"Administrators"
"S:\Service\Radio Programs\Bouchier Contracting - 104720\",2.7 MB,2.8 MB,54 ,3 ,0.0 %,3/11/14,10/17/14,"Administrators"
"S:\Service\Radio Programs\Graham Industrial Services\",2.7 MB,2.7 MB,43 ,1 ,0.0 %,8/20/14,12/12/14,"Administrators"
"S:\Service\Radio Programs\Ceda Reactor Ltd.-107170\",2.5 MB,2.6 MB,35 ,1 ,0.0 %,9/05/14,10/17/14,"Administrators"
"S:\Service\Radio Programs\AECON MINING - 206805\",2.5 MB,2.6 MB,44 ,5 ,0.0 %,5/22/15,5/22/15,"Administrators"
"S:\Service\Radio Programs\FIRST CANADA - 214695\",2.5 MB,2.6 MB,31 ,7 ,0.0 %,12/14/14,12/30/14,"Administrators"
"S:\Service\Radio Programs\SMS Equipment Inc - 108660\",2.4 MB,2.4 MB,19 ,0 ,0.0 %,2/18/14,7/15/14,"Administrators"
"S:\Service\Radio Programs\NORWEST CORP - 153357\",2.3 MB,2.4 MB,53 ,12 ,0.0 %,12/14/14,12/30/14,"Administrators"
"S:\Service\Radio Programs\Spartan Controls-136880\",2.3 MB,2.3 MB,2 ,0 ,0.0 %,2/24/15,2/24/15,"Administrators"
"S:\Service\Radio Programs\Snamproggetti Canada Inc - 219040\",1.8 MB,1.8 MB,20 ,2 ,0.0 %,1/16/13,9/27/14,"Administrators"
"S:\Service\Radio Programs\MotoTurbo\",1.7 MB,1.8 MB,24 ,1 ,0.0 %,2/23/10,7/15/14,"Administrators"
"S:\Service\Radio Programs\VORTEX\",1.7 MB,1.7 MB,15 ,0 ,0.0 %,12/09/13,12/09/13,"Administrators"
"S:\Service\Radio Programs\ERS ENVIRONMENTAL REFUELLING - 193384\",1.5 MB,1.6 MB,10 ,0 ,0.0 %,2/13/12,7/15/14,"Administrators"
"S:\Service\Radio Programs\Burnco Rock Products - 105980\",1.5 MB,1.5 MB,23 ,3 ,0.0 %,4/11/14,10/14/14,"Administrators"
"S:\Service\Radio Programs\Albian Sands Energy MRM\",1.3 MB,1.5 MB,83 ,24 ,0.0 %,12/14/14,12/31/14,"Administrators"
"S:\Service\Radio Programs\Ledcor CMI-123150\",1.4 MB,1.5 MB,38 ,5 ,0.0 %,2/05/13,10/27/14,"Administrators"
"S:\Service\Radio Programs\Centerfire Contracting Ltd\",1.4 MB,1.4 MB,20 ,1 ,0.0 %,1/03/14,9/12/14,"Administrators"
"S:\Service\Radio Programs\Surmont Sand & Gravel-138190\",1.3 MB,1.4 MB,17 ,1 ,0.0 %,2/05/15,2/24/15,"Administrators"
"S:\Service\Radio Programs\Hammerstone Corp.-194921\",1.3 MB,1.3 MB,26 ,1 ,0.0 %,4/17/15,4/17/15,"Administrators"
"S:\Service\Radio Programs\BYLAW Programming for Radios HT1250LS+ and CDM1250 with MDC1200 Board Inside\",1.3 MB,1.3 MB,14 ,1 ,0.0 %,1/19/15,1/19/15,"Administrators"
"S:\Service\Radio Programs\Clean Harbors\",1.3 MB,1.3 MB,9 ,0 ,0.0 %,2/28/13,12/17/13,"Administrators"
"S:\Service\Radio Programs\02 Files to be Reviewed & Approved for Removal\",1.1 MB,1.2 MB,24 ,1 ,0.0 %,10/25/10,11/24/14,"Administrators"
"S:\Service\Radio Programs\CNRL Kirby Lake - 211956\",1.1 MB,1.2 MB,14 ,1 ,0.0 %,11/07/14,5/26/15,"Administrators"
"S:\Service\Radio Programs\BANTREL AT CONOCO SITE - RENTAL SYSTEM\",1.1 MB,1.1 MB,12 ,2 ,0.0 %,8/07/12,7/15/14,"Administrators"
"S:\Service\Radio Programs\*.*",1.0 MB,1.1 MB,21 ,0 ,0.0 %,6/16/15,6/16/15,"(Multiple)"
"S:\Service\Radio Programs\Petro-Can\",1.0 MB,1.0 MB,9 ,5 ,0.0 %,6/08/10,7/15/14,"Administrators"
"S:\Service\Radio Programs\Tok Transit Alberta - 238338\",1.0 MB,1.0 MB,14 ,7 ,0.0 %,7/03/13,10/04/13,"Administrators"
"S:\Service\Radio Programs\Lakeshore-122490\",959.1 KB,1.0 MB,25 ,2 ,0.0 %,3/07/13,7/15/14,"Administrators"
"S:\Service\Radio Programs\Midlite Construction-126700\",994.7 KB,1.0 MB,12 ,2 ,0.0 %,2/12/14,4/11/14,"Administrators"
"S:\Service\Radio Programs\Sparksman Transportation-136870\",967.5 KB,996.0 KB,16 ,1 ,0.0 %,6/12/15,6/12/15,"Administrators"
"S:\Service\Radio Programs\Hazco Environmental-155237\",951.9 KB,980.0 KB,16 ,1 ,0.0 %,9/27/11,3/30/13,"Administrators"
"S:\Service\Radio Programs\Fisher Powerline Construction-169091\",928.5 KB,960.0 KB,13 ,0 ,0.0 %,9/18/14,9/25/14,"Administrators"
"S:\Service\Radio Programs\Husky Oil Sunrise Project\",893.0 KB,920.0 KB,14 ,3 ,0.0 %,5/20/15,5/26/15,"Administrators"
"S:\Service\Radio Programs\Finning Canada - 171891\",888.0 KB,904.0 KB,8 ,0 ,0.0 %,12/16/14,12/16/14,"Administrators"
"S:\Service\Radio Programs\Cummins Western Canada\",876.4 KB,888.0 KB,9 ,1 ,0.0 %,3/09/11,11/10/14,"Administrators"
"S:\Service\Radio Programs\Williams Energy\",843.9 KB,864.0 KB,7 ,0 ,0.0 %,5/02/12,7/15/14,"Administrators"
"S:\Service\Radio Programs\Morgan Construction-188369\",837.3 KB,852.0 KB,6 ,0 ,0.0 %,12/03/12,9/10/13,"Administrators"
"S:\Service\Radio Programs\Site Energy - 211867\",837.4 KB,852.0 KB,7 ,0 ,0.0 %,1/20/15,2/24/15,"Administrators"
"S:\Service\Radio Programs\AMEC COLT-158305\",832.6 KB,848.0 KB,11 ,2 ,0.0 %,12/14/14,12/30/14,"Administrators"
"S:\Service\Radio Programs\FMM Airport - 113830\",805.3 KB,840.0 KB,16 ,3 ,0.0 %,12/14/14,12/30/14,"Administrators"
"S:\Service\Radio Programs\JACKPINE\",776.3 KB,824.0 KB,27 ,1 ,0.0 %,7/17/08,3/30/13,"Administrators"
"S:\Service\Radio Programs\ASE\",691.3 KB,808.0 KB,47 ,14 ,0.0 %,12/14/14,12/31/14,"Administrators"
"S:\Service\Radio Programs\Encana FCCL\",773.7 KB,792.0 KB,11 ,3 ,0.0 %,10/21/09,7/15/14,"Administrators"
"S:\Service\Radio Programs\Inland Concrete-189193\",768.3 KB,788.0 KB,13 ,1 ,0.0 %,4/28/15,4/28/15,"Administrators"
"S:\Service\Radio Programs\Prairie North-131700\",686.3 KB,688.0 KB,1 ,0 ,0.0 %,7/22/10,7/11/14,"Administrators"
"S:\Service\Radio Programs\Barakat Industries - 198934\",650.6 KB,672.0 KB,7 ,0 ,0.0 %,11/27/12,1/31/14,"Administrators"
"S:\Service\Radio Programs\Conetec Investigations Ltd - 210516\",632.5 KB,648.0 KB,13 ,1 ,0.0 %,5/01/14,7/15/14,"Administrators"
"S:\Service\Radio Programs\Consun-108740\",595.9 KB,612.0 KB,9 ,0 ,0.0 %,2/04/15,2/24/15,"Administrators"
"S:\Service\Radio Programs\Flatiron Corp - 217592\",594.8 KB,612.0 KB,6 ,1 ,0.0 %,10/21/13,11/18/13,"Administrators"
"S:\Service\Radio Programs\H. Wilson-116640\",573.2 KB,608.0 KB,15 ,1 ,0.0 %,6/25/15,6/25/15,"Administrators"
"S:\Service\Radio Programs\24 Seven-199448\",587.2 KB,604.0 KB,7 ,0 ,0.0 %,4/18/12,7/15/14,"Administrators"
"S:\Service\Radio Programs\UTS   Value Creations    VCI\",572.3 KB,600.0 KB,15 ,1 ,0.0 %,12/16/09,3/30/13,"Administrators"
"S:\Service\Radio Programs\Keyera\",542.8 KB,560.0 KB,5 ,1 ,0.0 %,11/28/13,11/10/14,"Administrators"
"S:\Service\Radio Programs\Mammoet Canada - 155424\",538.1 KB,556.0 KB,8 ,0 ,0.0 %,3/31/15,3/31/15,"Administrators"
"S:\Service\Radio Programs\Eveready Industrial Services-112760\",534.6 KB,544.0 KB,6 ,3 ,0.0 %,12/14/14,12/30/14,"Administrators"
"S:\Service\Radio Programs\AMECO-101210\",520.4 KB,532.0 KB,4 ,0 ,0.0 %,3/06/15,3/06/15,"Administrators"
"S:\Service\Radio Programs\TIW STEEL PLATEWORK INC\",498.9 KB,528.0 KB,11 ,2 ,0.0 %,1/30/13,3/30/13,"Administrators"
"S:\Service\Radio Programs\ENBRIDGE PIPELINES\",505.1 KB,520.0 KB,7 ,0 ,0.0 %,10/07/13,5/15/14,"Administrators"
"S:\Service\Radio Programs\Keyera Partnership\",505.0 KB,520.0 KB,4 ,0 ,0.0 %,3/27/15,3/30/15,"Administrators"
"S:\Service\Radio Programs\Lafarge-122420\",466.4 KB,516.0 KB,29 ,1 ,0.0 %,2/03/15,2/24/15,"Administrators"
"S:\Service\Radio Programs\BP Energy (Rentals)\",485.7 KB,512.0 KB,12 ,0 ,0.0 %,12/19/13,7/28/14,"Administrators"
"S:\Service\Radio Programs\Lower Camp\",507.5 KB,512.0 KB,2 ,0 ,0.0 %,11/05/07,7/15/14,"Administrators"
"S:\Service\Radio Programs\Willbros Construction-142540\",493.3 KB,512.0 KB,9 ,1 ,0.0 %,8/16/10,3/30/13,"Administrators"
"S:\Service\Radio Programs\3 MISC\",479.0 KB,500.0 KB,8 ,0 ,0.0 %,11/17/07,3/30/13,"Administrators"
"S:\Service\Radio Programs\AMEC Kearl Lake\",466.6 KB,480.0 KB,10 ,0 ,0.0 %,2/24/09,3/30/13,"Administrators"
"S:\Service\Radio Programs\Neegan Development-128000\",465.5 KB,480.0 KB,5 ,1 ,0.0 %,3/17/15,3/17/15,"Administrators"
"S:\Service\Radio Programs\Access Taxi-152804\",456.8 KB,464.0 KB,3 ,1 ,0.0 %,6/18/10,3/30/13,"Administrators"
"S:\Service\Radio Programs\Shale Industries\",448.8 KB,452.0 KB,3 ,0 ,0.0 %,5/15/14,5/15/14,"Administrators"
"S:\Service\Radio Programs\MILESTONE SAND & GRAVEL LTD-220126\",438.4 KB,448.0 KB,6 ,0 ,0.0 %,11/26/12,3/30/13,"Administrators"
"S:\Service\Radio Programs\DURAMAX-111700\",422.5 KB,440.0 KB,6 ,0 ,0.0 %,11/20/13,11/20/13,"Administrators"
"S:\Service\Radio Programs\NAC Ltd. - 156191\",431.4 KB,440.0 KB,5 ,0 ,0.0 %,2/07/13,8/19/14,"Administrators"
"S:\Service\Radio Programs\Northland Forest Products-128750\",428.8 KB,440.0 KB,6 ,2 ,0.0 %,3/25/11,11/19/14,"Administrators"
"S:\Service\Radio Programs\Ace Construction-100570\",428.1 KB,436.0 KB,4 ,1 ,0.0 %,10/20/09,7/15/14,"Administrators"
"S:\Service\Radio Programs\ALBIAN Trunking\",353.2 KB,436.0 KB,29 ,10 ,0.0 %,12/14/14,12/30/14,"Administrators"
"S:\Service\Radio Programs\McKay Metis Management-226110\",420.5 KB,428.0 KB,5 ,0 ,0.0 %,3/14/13,3/30/13,"Administrators"
"S:\Service\Radio Programs\NEC\",415.6 KB,428.0 KB,9 ,0 ,0.0 %,2/22/13,7/15/14,"Administrators"
"S:\Service\Radio Programs\Tervita\",421.6 KB,428.0 KB,5 ,0 ,0.0 %,11/29/13,6/24/14,"Administrators"
"S:\Service\Radio Programs\Cross Oilsand Contracting-109410\",388.5 KB,408.0 KB,11 ,1 ,0.0 %,10/21/09,7/15/14,"Administrators"
"S:\Service\Radio Programs\Voice Construction - 140850\",374.6 KB,400.0 KB,10 ,3 ,0.0 %,4/11/14,7/17/14,"Administrators"
"S:\Service\Radio Programs\KEM ENTERPRISES - 121080\",379.2 KB,396.0 KB,6 ,0 ,0.0 %,11/30/12,7/15/14,"Administrators"
"S:\Service\Radio Programs\Ron MacAulay\",376.6 KB,384.0 KB,3 ,1 ,0.0 %,7/15/10,3/30/13,"Administrators"
"S:\Service\Radio Programs\CNRL\",346.4 KB,380.0 KB,22 ,0 ,0.0 %,11/23/11,11/27/14,"Administrators"
"S:\Service\Radio Programs\Inspek Crushing - 219005\",332.2 KB,380.0 KB,21 ,0 ,0.0 %,4/19/12,9/11/14,"Administrators"
"S:\Service\Radio Programs\PPCL\",347.8 KB,364.0 KB,6 ,1 ,0.0 %,5/15/14,10/17/14,"Administrators"
"S:\Service\Radio Programs\Sands Surveys 2000Ltd.-134590\",355.6 KB,360.0 KB,3 ,0 ,0.0 %,2/08/13,3/30/13,"Administrators"
"S:\Service\Radio Programs\PCL Industrial - 207264\",335.6 KB,352.0 KB,6 ,2 ,0.0 %,10/28/14,10/28/14,"Administrators"
"S:\Service\Radio Programs\Crow Enterprises\",336.7 KB,348.0 KB,3 ,0 ,0.0 %,5/13/14,5/14/14,"Administrators"
"S:\Service\Radio Programs\BIG COUNTRY ENERGY SERVICES\",328.6 KB,336.0 KB,2 ,0 ,0.0 %,5/31/13,6/03/13,"Administrators"
"S:\Service\Radio Programs\Diamond Park Builders\",328.9 KB,336.0 KB,3 ,0 ,0.0 %,5/07/08,11/24/14,"Administrators"
"S:\Service\Radio Programs\Executive Flight Centre - 214812\",311.8 KB,336.0 KB,8 ,0 ,0.0 %,5/23/14,12/12/14,"Administrators"
"S:\Service\Radio Programs\Marquis\",328.6 KB,336.0 KB,2 ,0 ,0.0 %,2/09/12,3/30/13,"Administrators"
"S:\Service\Radio Programs\Cow Harbour Construction-109150\",313.6 KB,320.0 KB,5 ,1 ,0.0 %,10/20/09,7/15/14,"Administrators"
"S:\Service\Radio Programs\Forestry\",312.4 KB,316.0 KB,1 ,0 ,0.0 %,10/21/09,3/30/13,"Administrators"
"S:\Service\Radio Programs\Bassett Petroleum\",294.3 KB,312.0 KB,7 ,0 ,0.0 %,3/13/13,3/30/13,"Administrators"
"S:\Service\Radio Programs\J & L Supply Co Ltd\",306.2 KB,312.0 KB,2 ,0 ,0.0 %,11/26/10,3/30/13,"Administrators"
"S:\Service\Radio Programs\Vista Ridge Ski Lodge\",292.9 KB,312.0 KB,6 ,1 ,0.0 %,11/19/12,12/04/14,"Administrators"
"S:\Service\Radio Programs\ConeTec\",303.7 KB,308.0 KB,5 ,0 ,0.0 %,5/26/14,7/28/14,"Administrators"
"S:\Service\Radio Programs\R-EX Contracting ltd\",288.1 KB,308.0 KB,8 ,0 ,0.0 %,3/05/15,3/05/15,"Administrators"
"S:\Service\Radio Programs\Shell Asphault Creek Winter Drill RENTALS  Oct 2008\",302.7 KB,308.0 KB,4 ,0 ,0.0 %,10/22/08,10/08/13,"Administrators"
"S:\Service\Radio Programs\Lima Exp\",294.5 KB,300.0 KB,4 ,1 ,0.0 %,11/09/10,3/30/13,"Administrators"
"S:\Service\Radio Programs\Inter Pipeline-138790\",285.7 KB,296.0 KB,7 ,1 ,0.0 %,2/04/15,2/24/15,"Administrators"
"S:\Service\Radio Programs\Deer Crk Energy\",291.1 KB,292.0 KB,2 ,0 ,0.0 %,10/21/09,7/15/14,"Administrators"
"S:\Service\Radio Programs\Serve U Expediting\",268.0 KB,292.0 KB,10 ,0 ,0.0 %,6/08/15,6/08/15,"Administrators"
"S:\Service\Radio Programs\WEST PEAK FORESTRY - 234953\",290.1 KB,292.0 KB,2 ,0 ,0.0 %,1/21/13,3/30/13,"Administrators"
"S:\Service\Radio Programs\C & G WATER HAULING\",281.6 KB,288.0 KB,2 ,0 ,0.0 %,12/14/10,3/30/13,"Administrators"
"S:\Service\Radio Programs\Demers Construction-110430\",279.7 KB,288.0 KB,6 ,1 ,0.0 %,1/25/10,7/15/14,"Administrators"
"S:\Service\Radio Programs\CRANE KIT PROGRAMMING - RENTALS\",266.0 KB,284.0 KB,10 ,3 ,0.0 %,2/24/10,7/15/14,"Administrators"
"S:\Service\Radio Programs\Maxam Bulk Service - 204852\",272.6 KB,284.0 KB,6 ,0 ,0.0 %,10/10/12,9/08/14,"Administrators"
"S:\Service\Radio Programs\Pete's Logging-130690\",277.8 KB,284.0 KB,3 ,0 ,0.0 %,5/23/12,3/30/13,"Administrators"
"S:\Service\Radio Programs\TBG Contracting-138600\",268.2 KB,280.0 KB,5 ,1 ,0.0 %,3/28/12,7/15/14,"Administrators"
"S:\Service\Radio Programs\LETCAR MECHANICAL GROUP - 167289\",273.0 KB,276.0 KB,1 ,0 ,0.0 %,8/11/11,3/30/13,"Administrators"
"S:\Service\Radio Programs\WINTER ROAD DEC 2008\",274.0 KB,276.0 KB,1 ,0 ,0.0 %,12/22/08,3/30/13,"Administrators"
"S:\Service\Radio Programs\ALPac\",253.1 KB,272.0 KB,24 ,2 ,0.0 %,2/16/12,10/02/14,"Administrators"
"S:\Service\Radio Programs\Cormode Dickson 158559\",260.5 KB,272.0 KB,6 ,0 ,0.0 %,2/20/13,3/30/13,"Administrators"
"S:\Service\Radio Programs\RW DONAHUE TRUCKING\",265.9 KB,272.0 KB,3 ,0 ,0.0 %,11/14/13,11/14/13,"Administrators"
"S:\Service\Radio Programs\5 Channel MotoTrbo Capacity Plus Demo System\",252.7 KB,260.0 KB,5 ,0 ,0.0 %,9/22/09,3/30/13,"Administrators"
"S:\Service\Radio Programs\ATCO\",240.4 KB,260.0 KB,12 ,2 ,0.0 %,11/20/13,7/15/14,"Administrators"
"S:\Service\Radio Programs\Bear Slashing Ldt.-103100\",241.8 KB,256.0 KB,4 ,1 ,0.0 %,1/04/10,7/15/14,"Administrators"
"S:\Service\Radio Programs\Universal Aviation - 140470\",230.6 KB,244.0 KB,7 ,0 ,0.0 %,10/24/13,7/15/14,"Administrators"
